clauses,fairness level
"we may combine information provided by you with information from third party sources, in accordance with applicable law.",1
we also disclose personal information to other companies in the adobe family and with advertising and sales partners consistent with your choices.,1
"we transfer your personal information to the us and other countries, which may be outside the country in which you live.",1
"you may use and access the services or software at your own discretion and risk, and you are solely responsible for any damage to your computer system or loss of data that results from the use of and access to any service or software",1
"emails we send you may include a technology (called a web beacon) that tells adobe whether you have received or opened the email, or clicked a link in the email.",1
"we encourage you to periodically review the adobe privacy center for the latest information on our privacy practices. under certain circumstances (for example with certain material changes) we will provide notice to you of these changes and, where required by applicable law, we will obtain your consent.",1
you must be 13 or older to register for an individual adobe id. schools that participate in the primary and secondary education named user offering may issue a child under 13 an enterprise-level adobe id,1
"if you reside in north america (inclusive of united states, canada, mexico, united states territories and possessions, and united states military bases wherever located), your relationship is with adobe inc., a united states company, and the terms are governed by the law of california, u.s.a.",0
"adobe advertises online in a variety of ways, including displaying adobe ads to you on other companies' websites and apps and on social media platforms, such as facebook and linkedin.",1
adobe websites use cookies and similar technologies provided by our own company (adobe experience cloud) and other companies that allow us to gather additional information to measure and improve the effectiveness of our advertising,1
"we employ administrative, technical, and physical security controls where appropriate, such as encryption",0
you may stop using the services and software at any time.,0
"your indemnification obligations, our warranty disclaimers and limitations of liabilities, and dispute resolution provisions stated in the terms will survive",1
our total liability in any matter arising out of or related to the terms is limited to the greater of (a) us $100. or (b) the aggregate amount that you paid for access to the services and software during the three-month period preceding the event giving rise to the liability.,1
"upon the expiration or termination of the terms, some or all of the services and software may cease to operate without prior notice.",1
"unless otherwise noted, the amended terms will be effective immediately, and your continued use of our services and software will confirm your acceptance of the changes",1
"solely for the purposes of operating or improving the services and software, when you upload content to the services or software, you grant us a nonexclusive, worldwide, royalty-free, sublicensable, and transferrable license to use, reproduce, publicly display, distribute, modify (so as to better showcase your content, for example), publicly perform, and translate the content.",0
"adobe may offer free memberships, offers, and trial memberships in its sole discretion. if access to the services or software is provided to you for free or for trial purposes, such access is governed by these terms. at any time prior to or during the free or trial period, adobe may, in its sole discretion, terminate the free or trial access without prior notice and without any liability to you",1
"if a dispute is not resolved within 30 days of receipt by us, any resulting legal actions must be resolved through final and binding arbitration, including any question of whether arbitration is required, except that you may assert claims in small claims court if your claims qualify",1
"you may only resolve disputes with us on an individual basis, and you may not bring a claim as a plaintiff or a class member in a class, consolidated, or representative action.",1
"sending you information about adobe products and services, special offers and similar information, and sharing your information with third parties for their own marketing purposes (where your consent is not required);",1
"if we merge with or are acquired by another company, sell an adobe website, app, or business unit, or if all or a substantial portion of our assets are acquired by another company, your information will likely be disclosed to our advisers and any prospective purchaser's advisers and will be one of the assets that is transferred to the new owner.",1
"we provide interactive features that engage with social media sites, such as facebook. if you use these features, these sites will send us personal information about you.",1
"we will also share your personal information with companies that help us run our business by processing personal information on behalf of adobe for the purposes identified above. such companies include providers of customer support services, payment processing services, fraud monitoring and prevention, email, social media, and other marketing platforms and service providers, and hosting services.",0
please be careful when you share your personal information. do not share anything you wouldnâ€™t want publicly known unless you are sure you are posting it within an app or website that allows you to control who sees what you post.,0
"we employ administrative, technical, and physical security controls where appropriate, such as encryption, 1-step verification,",0
"we may share or publish aggregate information that doesnâ€™t specifically identify you, such as statistical information about visitors to our websites or statistical information about how customers use the adobe experience cloud.",1
"when we have a good faith belief that we are required to provide information in response to a subpoena, court order, or other applicable law or legal process (learn more), or to respond to an emergency involving the danger of death or serious bodily harm;",1
"under the law of some jurisdictions, you may have the right to ask us for a copy of your personal information. to correct, delete or restrict (stop any active) processing of your personal information. and to obtain the personal information you provide to us for a contract or with your consent in a structured, machine readable format, and to ask us to share (port) this information to another controller.",0
"if you have unresolved concerns, you have the right to report them to your local privacy regulator or data protection authority and, where applicable, you also have the right to lodge a complaint with adobe ireland's lead supervisory authority, the irish data protection commission.",0
"in addition, most web browsers have a â€œdo not trackâ€ feature that lets you tell websites you do not want to have your online activities tracked. currently, there is not an accepted standard on how companies should respond to web browsersâ€™ â€œdo not trackâ€ signals",1
"when you close your account, we begin deleting certain personal information that we no longer have a business reason to retain, such as your hashed password and your tokenized payment account data. however, we typically retain personal information related to our contract and business transactions with you for seven years after your last interaction with us.",1
"we collect information about how you use our apps and websites, including when you use a desktop app feature that takes you online (such as a photo syncing feature). depending on the app or website, this information may be associated with your device or browser or it may be associated with your adobe account.",1
adobe websites use cookies and similar technologies provided by our own company (adobe experience cloud) and other companies that allow us to gather additional information to measure and improve the effectiveness of our advertising. we collect information such as: &nbsp;  which ads are displayed; which ads are clicked on. and&nbsp; where the ad was displayed,1
"if we do, we will change the ""last updated"" date at the top of this policy and the revised policy will be posted to this page so that you are aware of the information we collect, how we use it, and under what circumstances we may disclose it.",0
please note that websites and apps provided by some companies acquired by adobe may operate under their own privacy policies until their privacy practices are integrated with adobe's privacy practices.,1
"we collect information about how you use our apps and websites, including when you use a desktop app feature that takes you online (such as a photo syncing feature). depending on the app or website, this information may be associated with your device or browser or it may be associated with your adobe account. it includes: ip address",1
"any and all disputes arising out of this agreement, its termination, or our relationship with you shall be determined by binding arbitration under the arbitration act 1996 in auckland, new zealand, by one arbitrator who shall be a lawyer knowledgeable in relevant technology matters appointed by the president for the time being of the arbitratorsâ€™ and mediatorsâ€™ institute of new zealand incorporated (aminz) on a request by either you or us.",1
"we will charge the credit card associated with the business account with the applicable fees (including for any specified minimum) at the monthly billing date, on a recurring basis.",1
"when you use our services, our systems retain the following metadata in unencrypted form:   8.3.1 browser type and operating system of the devices from which you have logged in to mega.   8.3.1 ip address and port information for logins, api usage, file uploads, folder creations and link exports.",1
"where there is no enforcement action likely or commenced and the 11 month period has expired, or after such longer period as is applicable in the case of records of financial transactions relating to your account that we are legally required to retain, account data that identifies you will be anonymised, but where you are a contact of, have had a folder shared with you by, or have chatted with, another mega user, those details will continue to be retained to allow services to continue for those other users.",1
you can download your account data at https://mega.nz/fm/account/history while you are logged into your account. this will provide your account data but not your files.,0
"we will never sell your files, your chats, any account data or any usage data.",0
"we can change these terms at any time by providing you at least 30 days' prior notice of the change, whether via email or via a message in any service we provide.",0
you should keep your password and recovery key safe and confidential. you must not share your password with anyone else and should not release encryption keys to anyone else unless you wish them to have access to your data.,1
we do not make any guarantees that there will be no loss of data or the services will be bug free.,1
"you can't, and will ensure that no users within a business account, of which you are administrator:   15.1 assign or transfer any rights you have under these terms to any other person (including by sharing your password with someone else) without our prior written consent.",1
"if you choose to stop using our services, you must download your data first because after account closure we may, if we wish, delete all your data.   if we suspend or terminate our services to you because you have breached these terms, or someone you have given access to has breached these terms, during the term of that suspension we may, if we wish, delete your data immediately or deny you access to your data but keep it for evidential purposes.",1
"prohbits to run any network scanning software, spiders, spyware, robots, open relay software or similar softwar",1
prohibits  to attempt to gain unauthorised access to any services other than those to which you have been given express permission to access.,1
we are not responsible if someone else gains access to your computer or other device and/or your mega password and/or encryption keys for any files.,1
"the open source code that we use, where we obtained it, and licences for that code, are all referenced on our websites and via our mobile apps.",0
you can request correction of account data if it is considered incorrect,0
"if you believe that your content has been copied or used in a way that constitutes copyright infringement, please provide us with the following information:",1
"we collect and keep usage data with your consent to provide services and support related to our services, for market and product research and to be able to give users promotional material and special offers on our services.",1
"we reserve the right to remove data alleged to be infringing without prior notice, at our sole discretion, and without liability to you.",1
you can terminate your access to our services at any time by following the 'cancel your account' link in the account section of our websites or the settings section of our mobile apps.,0
"if we think it is necessary or we are obliged by law in any jurisdiction, then we are entitled to give your files, your chats, any account data and any usage data to competent authorities, even if those items are encrypted",1
"we may send invoices, security or service updates and various other notices by email to the email address listed in your account or using any of our chat or messaging systems. they will be deemed to be received in accordance with our terms.",0
"based on the functionality they provide, we classify all the â€˜cookiesâ€™ we use (including browser cookies, local storage, web beacons, tracking urls and device identifiers) into the following categories: ",1
tracking urls  these are specially formatted urls that let us know when they have been clicked. they help us track things like when a particular link in an email is clicked on or which option on a webpage is chosen more often.,1
"one concrete way we commit to user privacy is by honoring do not track (â€œdntâ€) browser settings. thereâ€™s no consensus on how best to do this. but, we have adopted an approach that we believe honors the fundamental pro-privacy aims of the dnt standard.",0
"you may withdraw consent by deleting your account at any time through the settings page, or by going to settings and then selecting account within our app",0
"please note that if you choose to delete your account, we may continue to retain certain information about you as required by law or for our legitimate business purposes.",1
"we may share personal information in connection with, or during negotiations concerning, any merger, sale of company assets, financing, or acquisition of all or a portion of our business by another company.",1
we reserve the right to suspend or terminate your access to the services with or without notice.,1
"communicate with you about new content, products, services, and features offered by medium and provide other news and information we think will interest you",1
"if you sign up for a medium account, you may at any time request an export of your personal information from the settings page, or by going to settings and then selecting account within our app",0
"information collected includes:  device type and settings, such as hardware model and operating system version; log information, including details of how our service is used, device event information, and the device's internet protocol (ip) address; unique application numbers, such as application version number. and unique identifiers, which are used to collect and store information about an app or device, such as preferred language, app activity, and other settings",1
"app activity. this information includes the videos your child watches, their search terms, and other interactions with content and ads in the app",1
"we may provide individual user information to our affiliates or other trusted businesses or persons to process it for us, based on our instructions and in compliance with our privacy policy and any other appropriate confidentiality and security measures.",1
"nothing in the terms gives you a right to use the twitter name or any of the twitter trademarks, logos, domain names",0
"nothing in the terms gives you a right to use the twitter name or any of the twitter trademarks, logos, domain names, other distinctive brand features,",0
"nothing in the terms gives you a right to use the twitter name or any of the twitter trademarks, logos, domain names, other distinctive brand features, and other proprietary rights",0
"all right, title, and interest in and to the services (excluding content provided by users) are and will remain the exclusive property of twitter and its licensors",1
"any feedback, comments, or suggestions you may provide regarding twitter, or the services is entirely voluntary",0
"we will be free to use such feedback, comments or suggestions as we see fit and without any obligation to you.",0
you may end your legal agreement with twitter at any time by deactivating your accounts and discontinuing your use of the services,0
we may suspend or terminate your account or cease providing you with all or part of the services at any time,1
we may suspend or terminate your account or cease providing you with all or part of the services at any time for any or no reason,1
"we may suspend or terminate your account or cease providing you with all or part of the services at any time for any or no reason, including, but not limited to, if we reasonably believe: (i) you have violated these terms or the twitter rules and policies or periscope community guidelines,",0
you create risk or possible legal exposure for us;,0
"your account should be removed due to unlawful conduct,",0
your account should be removed due to prolonged inactivity,1
our provision of the services to you is no longer commercially viable.,0
we will make reasonable efforts to notify you by the email address associated with your account or the next time you attempt to access your account,0
if you believe your account was terminated in error you can file an appeal following the steps found in our help,0
"for the avoidance of doubt, these terms survive the deactivation or termination of your account.",0
your access to and use of the services or any content are at your own risk,1
"he â€œtwitter entitiesâ€ refers to twitter, its parents, affiliates, related companies, officers, directors, employees, agents, representatives, partners, and licensors",0
the twitter entities make no warranty or representation and disclaim all responsibility and liability,0
"we may revise these terms from time to time. the changes will not be retroactive, and the most current version of the terms, which will always be at twitter.com/tos, will govern our relationship with you",1
"we will try to notify you of material revisions, for example via a service notification or an email to the email associated with your account",0
"by continuing to access or use the services after those revisions become effective, you agree to be bound by the revised terms.",1
"the laws of the state of california, excluding its choice of law provisions, will govern these terms and any dispute that arises between you and twitter",0
"all disputes related to these terms or the services will be brought solely in the federal or state courts located in san francisco county, california, united states",0
"all disputes related to these terms or the services will be brought solely in the federal or state courts located in san francisco county, california, united states, and you consent to personal jurisdiction and waive any objection as to inconvenient forum.",1
"if you are a federal, state, or local government entity in the united states using the services in your official capacity and legally unable to accept the controlling law, jurisdiction or venue clauses above, then those clauses do not apply to you",0
twitterâ€™s failure to enforce any right or provision of these terms will not be deemed a waiver of such right or provision.,0
"these terms are an agreement between you and twitter, inc.",0
you may use the services only if you agree to form a binding contract with twitter and are not a person barred from receiving services under the laws of the applicable jurisdiction,0
"in any case, you must be at least 13 years old",0
"you must be at least 13 years old, or in the case of periscope 16 years old",0
"in the case of periscope 16 years old, to use the services",0
"if you are accepting these terms and using the services on behalf of a company, organization, government, or other legal entity, you represent and warrant that you are authorized to do so",0
the words â€œyouâ€ and â€œyourâ€ as used in these terms shall refer to such entity.,0
"you understand that through your use of the services you consent to the collection and use (as set forth in the privacy policy) of this information, including the transfer of this information to the united states, ireland, and/or other countries for storage, processing and use by twitter and its affiliates.",1
"you are responsible for your use of the services and for any content you provide, including compliance with applicable laws, rules, and regulations",0
you should only provide content that you are comfortable sharing with others.,0
any use or reliance on any content or materials posted via the services or obtained by you through the services is at your own risk.,1
we use the information we collect to provide and operate twitter products and services,0
we also use the information we collect to improve and personalize our products and services so that you have a better experience on twitte,1
"by showing you more relevant content and ads, suggesting people and topics to follow, enabling and helping you discover affiliates, third-party apps, and services.",1
we may use the information we collect from accounts of other services that you choose to connect your twitter account to provide you features like cross-posting or cross-service authentication,1
"we use your contact information to help others find your account if your settings permit, including through third-party services and client applications.",0
"we use your contact information to help others find your account, including through third-party services and client applications.",1
we use your information to provide our advertising and sponsored content services,1
we also use this information to measure the effectiveness of ads and to help recognize your devices to serve you ads on and off of twitter,1
some of our ad partners also enable us to collect similar information directly from their website or app by integrating our advertising technology,1
we use information we collect to provide for the safety and security of our users,0
"this includes verifying your identity, authenticating your account, and defending against fraud, unauthorized use, and illegal activity",0
"we also use the information to evaluate and affect the safety and quality of content on twitter - this includes investigating and enforcing our policies and and terms, as well as applicable law.",0
we use the information we collect to measure and analyze the effectiveness of our products and services and to better understand how you use them in order to make them better.,1
"we use the information we collect to communicate with you about our products and services, including about product updates and changes to our policies and terms",0
"we use information you share with us, or that we collect to conduct research, surveys, product testing, and troubleshooting to help us operate and improve our products and services.",0
"you may use pinterest only if you can legally form a binding contract with pinterest, and only in compliance with these terms and all applicable laws",1
"when you create your pinterest account, you must provide us with accurate and complete information",0
you canâ€™t use pinterest if it would be prohibited by u.s. sanctions,0
any use or access by anyone under the age of 13 is not allowed,0
"using pinterest may include downloading software to your computer, phone, tablet, or other device",0
"you agree that we may automatically update that software, and these terms will apply to any updates.",0
if you want to use pinterest for commercial purposes you must create a business account and agree to our business terms of service,0
"pinterest allows you to post content, including photos, comments, links, and other materials",0
"you retain all rights in, and are solely responsible for, the user content you post to pinterest",0
"you grant pinterest and our users a non-exclusive, royalty-free, transferable, sublicensable, worldwide license to use, store, display, reproduce, save, modify, create derivative works, perform, and distribute your user content",1
"we reserve the right to remove or modify user content, or change the way itâ€™s used in pinterest, for any reason",1
"following termination or deactivation of your account, or if you remove any user content from pinterest, we may keep your user content for a reasonable period of time",0
"following termination or deactivation of your account, or if you remove any user content from pinterest, we may keep your user content forever or as long as we wish",1
"if you choose to submit comments, ideas or feedback, you agree that we are free to use them without any restriction or compensation to you",0
"y accepting your submission, pinterest doesnâ€™t waive any rights to use similar or related feedback previously known to pinterest, or developed by its employees, or obtained from sources other than you.",1
"while we work to protect the security of your content and account, pinterest canâ€™t guarantee that unauthorized third parties wonâ€™t be able to defeat our security measures",1
we ask that you keep your password secure. please notify us immediately of any compromise or unauthorized use of your account,0
"pinterest may contain links to third party websites, advertisers, services, special offers, or other events or activities that are not owned or controlled by pinterest",1
pinterest may terminate or suspend your right to access or use pinterest for any reason on appropriate notice,0
we may terminate or suspend your access immediately and without notice,1
"pinterest specifically disclaims any and all warranties and conditions of merchantability, fitness for a particular purpose, and non-infringement, and any warranties arising out of course of dealing or usage of trade.",0
pinterest takes no responsibility and assumes no liability for any user content that you or any other person or third party posts or sends using our service,0
"for any dispute you have with pinterest, you agree to first contact us and try to resolve the dispute with us informally.",0
"to access the services on an ongoing basis, you will need to create a discord account. you can provide a username and password, and a way of contacting you (such as an email address and/or phone number)",0
youâ€™ll also need to provide your birthday,1
"you are responsible for the security of your account, and you agree to notify us immediately if you believe your account has been compromised",0
"if you use a password, it must be strong, and we (strongly) recommend that you use that password only for your discord account and that you enable two-factor authentication.",0
you must always provide accurate information to discord and maintain the accuracy of the information associated with your account,0
we may assume that any communications weâ€™ve received from your account or the associated contact information have been made by you,0
"if your account is compromised or you no longer have access to your email account or phone number, we may not be able to restore your access to your account or the servers youâ€™ve created.",0
"you agree not to license, sell, or transfer your account without our prior written approval.",0
"when we say â€œyour contentâ€ in these terms, we mean all the things you add (upload, post, share, stream, etc.) to our services",0
you donâ€™t have any obligation to add content to the services,0
"if you choose to add content to the services, you are responsible for ensuring that you have the right to do so, that you have the right to grant the licenses in this section of these terms, and that your content is lawful",0
"we take no responsibility for any of your content, and we are not responsible for othersâ€™ use of your content.",0
"our services allow users to add content in a number of different ways, including via direct messages, group direct messages, and in small and large servers",0
"your content is yours, but you give us a license to it when you use discord.",1
"but by using our services, you grant us a licenseâ€”which is a form of permissionâ€”to do: use, copy, store, distribute, and communicate your content in manners consistent with your use of the services",1
"but by using our services, you grant us a licenseâ€”which is a form of permissionâ€”to do: publish, publicly perform, or publicly display your content if youâ€™ve chosen to make it visible to others",1
"but by using our services, you grant us a licenseâ€”which is a form of permissionâ€”to do: monitor, modify, translate, and reformat your content.",1
"but by using our services, you grant us a licenseâ€”which is a form of permissionâ€”to do: sublicense your content, to allow our services to work as intended",1
"we reserve the right to block, remove, and/or permanently delete your content",1
"we reserve the right to block, remove, and/or permanently delete your content if it is in breach of these terms",0
"you may use this content as permitted by these terms, but we retain all intellectual property rights in our content.",0
"our services might also provide you with access to other peopleâ€™s content. you may not use this content without that personâ€™s consent, or as allowed by law.",0
ou agree we will not be liable for any harm caused by that content,0
you may report content that you think violates any of our policies.,0
"we have the right, but not the obligation, to review such reports and block or remove content at our discretion.",1
"our services may also allow you to access third-party websites, features, apps, or other content",0
"we provide you access only as a convenience to you, and are not responsible for the content or services available from these websites or resources.",0
some of our services allow you to download client software,0
"you may not copy, modify, create derivative works based upon, distribute, sell, lease, or sublicense any of our software or services",0
"you also may not reverse engineer or decompile our software or services, attempt to do so, or assist anyone in doing so, unless you have our written consent or applicable law permits it.",0
"you understand and agree that others may, but are not obligated to, edit, delete or remove (without notice) any content from the services, for any reason or no reason.",1
"we reserve the right, at our sole discretion, to change, modify, add, or delete portions of this agreement at any time and without further notice",1
"the company may terminate your account, delete your profile and any content or information that you have posted on the services and/or prohibit you from using or accessing the services for any reason, or no reason, at any time in its sole discretion, with or without notice.",1
"in no event shall the aggregate liability of fandom, whether in contract, warranty, tort (including negligence, whether active, passive or imputed), product liability, strict liability or other theory, arising out of or relating to the use of or inability to use the services exceed the amount paid by you, if any, for accessing the services during the twelve (11) months immediately preceding the date of the claim or one hundred dollars, whichever is greater.",1
"we take steps to ensure that your information is treated securely and in accordance with this privacy policy. unfortunately, no system is 100% secure, and we cannot ensure or warrant the security of any information you provide to us. to the fullest extent permitted by applicable law, we do not accept liability for unauthorized disclosure.",1
"we use your personal information to provide you with tailored content and advertisements, including to determine your interests and select content and advertisements to provide to you based on your interests.",1
"if we are involved in a merger, acquisition, financing due diligence, reorganization, bankruptcy, receivership, purchase or sale of assets, or transition of service to another provider, then your information may be sold or transferred as part of such a transaction, as permitted by law and/or contract.",1
please note that we do not respond to or honor dnt signals or similar mechanisms transmitted by web browsers.,1
"you and fandom agree that any cause of action arising out of or related to the services must commence within one (1) year after the cause of action accrues. otherwise, such cause of action is permanently barred.",1
"we may use google analytics, quantcast, comscore and other service providers to collect and process analytics information on our services",1
a pixel tag (also known as a web beacon) is a piece of code embedded in the services that collects information about engagement on the services.,1
"we may obtain information about you from other sources, including through third party services and organizations to supplement information provided by you.",1
"you agree to indemnify, defend, and hold harmless fandom, its affiliated companies, contractors, employees, agents and its third-party suppliers, licensors, and partners from any claims, losses, damages, liabilities, including legal fees and expenses, arising out of your use or misuse of the services, any user content you post, store or otherwise transmit in or through the services, your violation of the rights of any third party, any violation by you of these terms of use, or any breach of the representations, warranties, and covenants made by you herein.",1
"in any case, you confirm that you are 16 or older (applicable to users located in&nbsp;california and in the european economic area (“eea”) excluding the u.k.) or 13 or older (applicable to users located in the rest of the world including the u.k.), and acknowledge that the services are not intended for children under such ages, as applicable.",1
you use the services at your own risk,1
we will try to give you reasonable notice of any major changes.,1
"to the fullest extent permitted by applicable law, the laws of the state of california, without regard to principles of conflict of laws, govern these terms of use and any dispute of any sort that might arise between you and the company or any of our affiliates.",1
"post or transmit any content that is obscene, pornographic, abusive, offensive, profane, or otherwise violates any law or right of any third party, or content that contains homophobia, transphobia, ethnic slurs, religious intolerance, or encourages criminal conduct",0
"information you provide to us account creation when you create an account on the services in order to become a registered user, we collect information such as your username and password, valid email address, and date of birth. you may optionally provide us with additional information including your first and last names, your gender, and your interests and hobbies.",0
"the privacy policy explains the purposes for which data is collected and the way it is processed, used and shared.",0
"your browsing activity may be tracked across different websites and different devices or apps. for example, we may attempt to match your browsing activity on your mobile device with your browsing activity on your laptop.",1
"we may revise this privacy policy from time to time in our sole discretion. if there are any material changes to this privacy policy, we will notify you as required by applicable law.",1
"finally, you irrevocably waive, and cause to be waived, against fandango and its users any claims and assertions of moral rights or attribution with respect to your user materials.",1
"in its sole and absolute discretion, with or without notice to you, fandango may suspend or terminate your use of and access to the services, terminate your account and/or remove and discard anything transmitted by you, or information stored, sent, or received via the services without prior notice and for any reason, including, but not limited to: (i) concurrent access of the services with identical user identification, (ii) permitting another person or entity to use your user identification to access the services, (iii) any unauthorized access or use of the services, (iv) any violation of these terms, (v) tampering with or alteration of any of the software and/or data files contained in, or accessed through, the services, (vi) failure to use the services on a regular basis, or (vii) abuse, deception or fraudulent behavior.",1
certain third parties may place their cookies on your device and use them to recognize your device when you visit the services and when you visit other websites or services. these third parties collect and use this information pursuant to their own privacy policies. third party cookies enable certain features or functionalities and advertising to be provided on the services.,1
"biometric identifiers for example: facial scans or fingerprints.provide the services personalize your experience provide seamless experience across platforms and devices protect our users, services and properties  audio and video for example: audio recordings of a customer service call or security video footage if you visit one of our properties.",1
"like many ecommerce companies, we provide some of your information, including your interests, activities on our site and device identifiers, to third parties in order to improve the marketing messages you receive and to enhance the data they have about you for their own advertising and marketing purposes. because we receive benefits from some of this data sharing, california and other jurisdictions may treat this as the “sale of personal information.” if you would like to opt out of this, please fill out the webform below.",1
"creating and updating profiles and audience segments that can be used for analytics, interest-based advertising and marketing on the services, television, third party services and platforms, mobile apps and/or websites, connected devices and offline using inferences about your preferences and interests for any and all of the above purposes",1
"advertisers, advertising networks, and other third parties: we may share information about how you use the services and interact with content or ads to better tailor services, products, marketing and advertising on the services and on third-party platforms.",1
"we will keep your information only for as long as it is necessary to fulfill the purposes described above, unless a longer retention is required or permitted by law. we may delete or de-identify your information sooner if we receive a verifiable deletion request, subject to exemptions under applicable law. the retention period that applies to your information may vary depending on the services you use and how you interact with them.",1
"quote regarding the information collected: ""information you provide to us: categories of personal information we collect purposes of use contact information and account registration.for example: name, email, postal address, telephone number, account user name and password, business contact information, and any information you may provide to us at an event or in person.",1
" as such, you hereby irrevocably grant fandango and its affiliates and licensees a world-wide, perpetual, non-exclusive, royalty-free,assignable, sublicensable, transferable rights to use, including, but not limited to the right to copy, publicly perform and display, reproduce, distribute, modify, translate, remove, analyze, commercialize, and prepare derivative works of, any user materials for any purpose.",1
"connection and usage  for example: domain names, browsing activity, scrolling and keystroke activity, theaters searched, locations searched, movies searched, shows viewed, movie trailers or other advertisements viewed, forms or fields you complete or partially complete, search terms, whether you open an email, content you view and duration, quality of the service and interaction with the content, logs, and other similar information.",1
"including adding and combining information we obtain from third parties and matching your interests across devices, which may be used for third-party marketing and advertising on the services, television, third party services and platforms, mobile apps and/or websites, connected devices and offline",1
"for instance, if you enter a contest, promotion or sweepstakes sponsored by a third party, we may share the information you provide for that entry with the sponsor. depending on the partnership, we may share certain information including contact information (at your direction), identification and demographic information, transactional information, user-generated content that you provide, research and feedback, device information and identifiers, connection and usage information, public and commercial information, and social media information.",1
"to enable these purposes, we may share certain demographics information, user-generated content, device information and identifiers, connection and usage data, geolocation data, public and commercial information, and social media information.",1
"like many companies, we use cookies (small text files placed on your computer or device) and other tracking technologies on the services (referred to together from this point forward as “cookies”, unless otherwise stated) including http cookies, html5 and flash local storage/ flash cookies, web beacons/gifs, embedded scripts, etags/cache browsers, and software development kits.",1
"by using or interacting with the services, or engaging in any other fandango transactions or relationships with us, you agree to binding arbitration as provided below.",1
"if you establish a personal account with us, you agree to provide true and accurate data about yourself on our account registration form, and to update and keep such data current. you will receive a password and account upon completing the registration form.",1
it is a condition of your use of the services that you do not interfere with any other user from using and enjoying the services,1
"you agree that regardless of any statute or law which establishes a different statute of limitations, to the maximum extent permitted under applicable law, any claim or cause of action (including any arbitration) arising out of, related to or connected with the use of the services, or these terms, our privacy policy, our terms and policies, or other fandango transactions or relationships must be filed within one (1) year after such claim or cause of action arose or be forever barred.",1
"fandango is a global company and has its headquarters in the united states. we may transfer your information to those described in this privacy policy outside of your country of residence, including in the united states and other countries. this is necessary to provide the services and for the purposes outlined in this privacy policy. data privacy laws vary from country to country and they may not be equivalent to, or as protective as, the laws in your home country. we take steps to ensure that reasonable safeguards are in place with an aim to ensure an appropriate level of protection for your information, in accordance with applicable law.",1
"unless otherwise expressly provided herein, the invalidity or unenforceability of any provision of these terms will not affect the validity or enforceability of any other provision, all of which will remain in full force and effect.",1
"you will indemnify and hold harmless the fandango parties, and at fandango's option defend the fandango parties, from and against any damage, loss, cost or expense (including without limitation, legal fees and costs) incurred in connection with any third-party claim, demand, proceeding or action (""claim"") brought against any of the fandango parties arising out of your use of the services or any alleged breach by you of any provision of these terms, or the infringement by you, or any other subscriber or user of your account, of any intellectual property or other right of any person or entity.",1
